question_code,RBC,RBC名前,environment,body_statement,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,answer,comment
111A092,154,ドレナージ,Aさん（60歳，男性，会社員）は息子2人が独立して遠方で暮らしており，2年前に妻と死別して以来，1人暮らし．直腸癌と診断され，腹会陰式直腸切断術，人工肛門造設術を行うと外来で説明を受けた．Aさんは看護師に対して「人工肛門を作ると聞いています．便が出てくる場所がどこなのかよくわからなくてイメージできない」と話した．,Aさんの手術は予定通り終了した．<br/>術後1日，会陰部から挿入されたドレーンからは，淡血性の排液が10mL/時で流出していた．バイタルサインが安定していることを確認した後，Fowler〈ファウラー〉位にして15分が経過したところで，Aさんからナースコールがあった．看護師が訪室すると「おしりが濡れているような気がする」と言う．確認すると，会陰部のガーゼに淡血性の浸出液を認めた．<br/>Aさんへの対応で最も優先度が高いのはどれか．,１．Fowler〈ファウラー〉位から仰臥位にする．,２．ドレーンの屈曲を確認する．,３．排液バッグを交換する．,４．会陰部を消毒する．,,2,"<ex>×１　会陰部のガーゼにドレーン排液と同じ淡血性の滲出液が認められたことから，ドレーンの<span class=""bold"">閉塞</span>が考えられる．半座位（ファウラー位）にした後であることから，ドレーンが<span class=""bold"">屈曲</span>した可能性が高い．仰臥位に戻すことで改善する可能性はあるが，最も優先度が高いとはいえない．</ex><ex>○２　会陰からドレナージを行っている場合，ドレーンは殿部の下に通して固定する．半座位に体位変換したことで，ドレーンが<span class=""bold"">屈曲</span>した可能性が高いことから，まずはその確認をする．</ex><ex>×３　ドレーンの閉塞は排液バッグを交換しても改善しない．</ex><ex>×４　ドレーンの閉塞は会陰部の消毒とは無関係である．</ex>"
113A042,154,ドレナージ,NULL,肝切除術後3日の患者のドレーンから黄褐色の排液がみられた．<br/>考えられる原因はどれか．,１．黄疸,２．出血,３．腹水,４．胆汁漏,,4,"<ex>×１　肝切除後の肝不全や胆道閉塞にて黄疸を生じることがあるが，黄疸単独では腹腔内の体液が増加することはなく，ドレーンからの排液も生じない．</ex><ex>×２　肝切除後に腹腔内出血を生じた場合，ドレーンからの排液は血液を含んだ<span class=""bold"">濃血性</span>となる．</ex><ex>×３　肝切除後に肝機能が低下して腹水が貯留した場合，ドレーンからの排液は<span class=""bold"">淡黄色</span>となる．</ex><ex>○４　肝切除後に切除部位から胆汁が漏れる胆汁漏を生じた場合，ドレーンからの排液は胆汁を含んだ<span class=""bold"">黄褐色</span>となる．</ex>"
105A046,155,悪性高熱症,NULL,Aさん（48歳，男性）は，直腸癌のため全身麻酔下で手術中，出血量が多く輸血が行われていたところ，41℃に体温が上昇し，頻脈となり，血圧が低下した．麻酔科医は下顎から頸部の筋肉の硬直を確認した．既往歴に特記すべきことはない．<br/>この状況の原因として考えられるのはどれか．,１．アナフィラキシー,２．悪性高熱症,３．菌血症,４．貧血,,2,"<ex>×１　輸血によるアナフィラキシーの可能性はあるが，アナフィラキシーでは通常，筋肉の硬直は起こらない．</ex><ex>○２　<span class=""bold"">悪性高熱症</span>は全身麻酔の術中に発症することがある．特徴的な症状は<span class=""bold"">骨格筋の硬直</span>，<span class=""bold"">頻脈</span>，<span class=""bold"">異常な高熱</span>である．</ex><ex>×３　一般的な直腸癌の手術で菌血症になることは考えにくい．菌血症になったとしても下顎から頸部の筋肉の硬直は，通常起こらない．</ex><ex>×４　貧血では発熱などの症状は引き起こされない．</ex>"
114A101,156,術後せん妄,Aさん（87歳，女性）は1人で暮らしている．難聴のため補聴器を使用している．自宅で転倒して痛みで起き上がれなくなり，救急搬送され入院した．搬送先の病院で右大腿骨頸部骨折と診断され，全身麻酔下で人工骨頭置換術を受けた．術後は前腕部に点滴静脈内注射と右大腿の創部に吸引式ドレーンが一本挿入されている．<br/>手術直後の検査所見：赤血球 410万/μL，白血球 7800/μL，Hb 12.0g/dL，総蛋白 6.5g/dL，アルブミン 4.0g/dL，尿素窒素 20mg/dL，Na 145mEq/L，K 3.8mEq/L．<br/>術後のドレーン出血量は少量である．創部痛に対して非ステロイド性抗炎症薬の坐薬と内服が処方され，手術当日の21時に坐薬を使用した．,術後1日．午前中に看護師がAさんのバイタルサインを測定しているときは眠っていた．昼食後に看護師が訪室すると，Aさんは多弁で，落ち着かない様子がみられた．<br/>看護師のAさんへの対応で適切なのはどれか．<goth>2つ選べ．</goth>,１．医師に抗不安薬の処方を依頼する．,２．ベッド上で安静に過ごしてもらう．,３．膀胱留置カテーテルを抜去する．,４．ベッド周囲をカーテンで囲む．,５．補聴器の装着を確認する．,"3,5",<ex>×１　Aさんは術後に多弁で落ち着かない様子であり，術後せん妄の可能性が高いが，原因や誘発因子に対処せずに，直ちに薬剤を投与することは不適切である．</ex><ex>×２　術後せん妄は，侵襲などの直接因子，不快な身体症状やカテーテル類による抑制・拘束，環境の変化，不安などの誘発因子，高齢であることなどの準備因子がかかわって生じる．ベッド上で安静に過ごしてきたAさんに術後せん妄が生じている要因をアセスメントし，それらを軽減，または除去することが必要である．</ex><ex>○３　尿道留置カテーテル挿入による苦痛や拘束感は，術後せん妄の誘発要因である．カテーテル類の抜去は術後せん妄の要因を除去することのひとつであり，適切である．</ex><ex>×４　術後せん妄では環境を調整することや昼夜のリズムを整えることが大切である．ベッドをカーテンで囲むと太陽の光を十分に浴びることができず，せん妄状態をさらに悪化させてしまう可能性があるため，適切ではない．</ex><ex>○５ 　普段付けている補聴器が正しく装着されていないことでAさんにとって不安な環境となり，それが術後せん妄の誘発因子になっている可能性がある．したがって，補聴器の装着を確認するのは適切である．</ex>
105P043,159,セルフケアの支援,NULL,セルフケア行動を継続するための支援で適切なのはどれか．,１．看護師が患者の目標を設定する．,２．目標は達成が容易でない水準にする．,３．行動の習慣化が重要であることを伝える．,４．これまでの経験は忘れて新たな方法で取り組むよう促す．,,3,<ex>×１　セルフケアでは自己管理を行うことが重要なので，看護師が目標を設定するのではなく，患者自身が目標を設定し自己評価することが大切である．</ex><ex>×２　自己管理のための行動変容には，患者自身ができそうという自信や意欲といった自己効力感を高めることが重要である．実践しやすく達成しやすい目標の設定が望ましい．</ex><ex>○３　セルフケア行動の継続のためには，日常生活に定着することが重要なため，行動の習慣化の重要性を伝えることは適切である．</ex><ex>×４　セルフケア行動の支援として行う患者教育においては，これまでの経験を資源としていくことが望ましい．</ex>
109P041,159,セルフケアの支援,NULL,成人のセルフケア行動に関する学習を促進するのはどれか．,１．自己効力感,２．パターナリズム,３．プレパレーション,４．ノンコンプライアンス,,1,"<ex>○１　<span class=""bold"">自己効力感</span>を高めることは，セルフケア行動や行動変容を促す支援として有効である．</ex><ex>×２　<span class=""bold"">パターナリズム</span>とは強い立場の者が介入・干渉し，それに従うべきだとする考えである．本人の意思を尊重することで成人の学習は促進されるため，適切ではない.</ex><ex>×３　<span class=""bold"">プレパレーション</span>は心理的準備の援助として，主に小児の検査や処置，手術の前に行うものである．</ex><ex>×４　<span class=""bold"">コンプライアンス</span>とは医療者からの指示を患者が<ruby>遵<rp>(</rp><rt>じゅん</rt><rp>)</rp></ruby><ruby>守<rp>(</rp><rt>しゅ</rt><rp>)</rp></ruby>するかどうかを示し，ノンコンプライアンスとは医療者からの指示を患者が守らない状態を指す．</ex>"
113P086,159,セルフケアの支援,NULL,Aさん（55歳，男性，会社員）は30年の喫煙歴がある．会社の健康診断で高血圧を指摘されて生活習慣の改善を勧められたが「週末にスポーツジムで運動するようになったけれど，仕事が忙しくてこれ以上生活を変える自信はありません」と述べた．<br/>Aさんの自己効力感を高める支援はどれか．<goth>2つ選べ</goth>．,１．Aさんの運動への取り組みを評価する．,２．Aさんの職場の上司に配置転換を依頼する．,３．Aさんが取り組めそうな目標を一緒に設定する．,４．Aさんが生活習慣を改善する気持ちになるまで待つ．,５．Aさんが脳血管疾患になる危険性が高いことを説明する．,"1,3",<ex>○１　Aさんが週末にスポーツジムで運動することは遂行行動の達成に当てはまり，その取り組みを評価することは言語的説得に当てはまる．自己効力感を高める支援として適切である．</ex><ex>×２　Aさんは生活習慣の改善が難しい理由として「仕事が忙しい」と発言しているが，配置転換が行動変容を実現する要因になるとは限らず，自己効力感を高める支援とはいえない．また，いきなりAさんの上司へ配置転換を依頼することは望ましくない．</ex><ex>○３　Aさんが取り組みやすい目標を一緒に設定することは，言語的説得に当てはまり，自己効力感を高められるため，適切な支援といえる．反対に，取り組みにくい高い目標の設定は，自己効力感を低下させる要因となる．</ex><ex>×４　生活習慣を改善する気持ちになるまで待つだけでは行動変容が起こせず，自己効力感を高める支援とはならない．</ex><ex>×５　疾患が生じる危険性を伝えることで，これ以上生活を変える自信がないと訴えているAさんに不安を与えることになる．不安は生理的・情動的状態の自己効力感を下げる情報である．</ex>
114P032,159,セルフケアの支援,NULL,入院して間もない片麻痺がある患者から「着替えがうまくできない．ひとりでできるようになりたい」と訴えがあった．<br/>最初に行う看護師の対応で最も適切なのはどれか．,１．「繰り返し練習しましょう」,２．「できないところは手伝います」,３．「着替えるところを見せてください」,４．「着替えのパンフレットを参考にしましょう」,,3,<ex>×１　患者がどのような状態なのかを把握せずに練習のみを促しているため，最初に行う対応としては不適切である．</ex><ex>×２　「ひとりでできるようになりたい」という患者の意欲をそいでしまう発言であるため，不適切である．</ex><ex>○３　患者とともに対応策を考える目的で，まず現在の状態を確認しているため，最初に行う対応として適切である．</ex><ex>×４　パンフレットの活用を提案し情報提供をしているが，患者の状態を確認せず，対応を患者任せにしているため，不適切である．</ex>
106P080,159,セルフケアの支援,NULL,"患者の自立支援で適切なのはどれか．<span class=""bold"">2つ選べ</span>．",１．不足している知識を補う．,２．発病前の生活習慣を尊重する．,３．支援目標を看護師があらかじめ定める．,４．できないことに焦点を当てて行動を修正する．,５．支援者である看護師が上位の関係が望ましい．,"1,2","<ex>○１　多すぎる情報を提供すると患者は混乱するので，患者にとって不足している知識を補っていくことが望ましい．</ex><ex>○２　それまで生活してきたなかでの習慣や経験を活かすことが成功につながる．</ex><ex>×３　看護師が目標を設定するのではなく，<span class=""bold"">患者自身</span>が目標を設定し，自己評価できるようにすることが大切である．</ex><ex>×４　自立支援においては，できないことに焦点を当てることは患者の意欲をそぐ結果となってしまう．患者ができそうだと思えるように，ともに考えていく姿勢を示すことが重要である．</ex><ex>×５　患者とその家族を含めたチームメンバーは，<span class=""bold"">上下関係</span>ではなく<span class=""bold"">対等な立場</span>で協働，連携する関係性がよいとされている．</ex>"
107A044,159,セルフケアの支援,NULL,慢性疾患の患者に対する自己管理の支援で最も適切なのはどれか．,１．患者自身の失敗体験をもとに指導する．,２．病気に関する広範囲な知識を提供する．,３．症状に慣れる方法を身につけるように促す．,４．自分の身体徴候を把握するように指導する．,,4,<ex>×１　失敗体験は自己効力感を低下させる．自分で実際に行動を実行してみて「できた」という成功体験をもつことで，自己効力感が高められる．</ex><ex>×２　医療者側は患者に理解してほしい知識を短期間に多く提供してしまうことがあり，患者の混乱を招く．患者が活用できる情報を見極め，個別性を考慮して必要な情報を提供する．</ex><ex>×３　慢性疾患は，呼吸困難感，痛み，悪心・嘔吐，しびれ，倦怠感などさまざまな症状を伴うことが多い．このような症状をマネジメントすることが重要であり，慣れるよう促すことは不適切である．</ex><ex>○４　患者が病状のコントロール状態を示す身体徴候を自身で気づけるようにすることで，異常の早期発見や自己管理のための望ましい行動が増えることにつながる．</ex>
109P048,159,セルフケアの支援,NULL,慢性疾患をもつ成人の自己管理を促進する援助はどれか．,１．行動の習慣化を促す．,２．医療者が患者の目標を設定する．,３．結果を優先して評価することを促す．,４．うまくいかない行動に目を向けるよう促す．,,1,"<ex>○１　自己管理を定着させるためには，行動の<span class=""bold"">習慣化</span>を促すことが有効である．</ex><ex>×２　患者が<span class=""bold"">主体的</span>に目標を設定することが重要である．</ex><ex>×３　問題解決への<span class=""bold"">プロセス</span>を評価する．</ex><ex>×４　自己管理で改善できた点を評価することで<span class=""bold"">達成感</span>が得られ，さらに自己管理が促進されるため，失敗に目を向けさせることは適切ではない．</ex>"
110A031,160,社会的支援の獲得,NULL,ソーシャルサポートのうち，情緒的サポートはどれか．,１．傾聴する．,２．情報提供する．,３．外出に付き添う．,４．経済的支援をする．,,1,"<ex>○１　傾聴は<span class=""bold"">情緒的</span>サポートにあたる．共感を示すことで他者との情緒的なつながりを築く援助である．</ex><ex>×２　問題解決に役立つアドバイスや情報の提供は<span class=""bold"">情報的</span>サポートである．</ex><ex>×３　外出に付き添うことは，労働の直接的な援助にあたり，<span class=""bold"">道具的</span>サポートである．</ex><ex>×４　経済的に援助することは，金銭や物資などの直接的な援助であり，<span class=""bold"">道具的</span>サポートである．</ex>"
108P088,161,退院へ向けた看護,NULL,"交通事故によって脊髄損傷で入院した下肢に麻痺のある成人患者．<br/>職場復帰に向けて，看護師が患者に説明する内容で適切なのはどれか．<span class=""bold"">2つ選べ</span>．",１．自己導尿は自宅で行う．,２．仕事中は飲水を制限する．,３．車椅子には体圧分散マットを使用する．,４．残業する場合の休憩時間は不要である．,５．職場の担当者に自分の病気について伝える．,"3,5",<ex>×１　自己導尿は，尿失禁や尿路感染症を防ぐために定期的に行う必要があり，職場でも実施できるようにする．</ex><ex>×２　尿路感染症を防ぐために，十分な水分量を摂取するように促す．</ex><ex>○３　下肢に麻痺があるため，褥瘡の発生リスクが高い．体圧分散マットを使用して褥瘡を予防する．</ex><ex>×４　残業によって身体に長時間の負荷がかかるため，適度な休憩が必要である．</ex><ex>○５　障害によってどのような配慮をしてほしいのかを担当者に伝え，バリアフリーにするなど環境を整備してもらい，適宜必要な援助が得られるようにする．</ex>
109P070,161,退院へ向けた看護,NULL,Aさん（55歳，男性）は，妻と2人暮らし．建築士として主にデスクワークの仕事を行っていた．脊髄損傷のため下半身の不完全麻痺となり，リハビリテーション専門の病院へ転院した．電動車椅子を用いて室内の動作は自立できるようになった．退院調整部門の看護師との面接でAさんから「元の職場に戻りたい」と話があった．<br/>Aさんの自己決定を支援する看護師の助言で適切なのはどれか．,１．「元の職場の仕事を在宅勤務に変更しましょう」,２．「デスクワークなので職場復帰は可能と思います」,３．「職場復帰にあたりAさんが課題と思うことを整理しましょう」,４．「元の職場にこだわらずAさんの障害にあった職場を探しましょう」,,3,"<ex>×１　Aさんの職場に戻りたい理由を把握していない段階で，在宅勤務への変更を提案することは，Aさんの希望に沿った発言ではなく，自己決定の支援とはいえない．</ex><ex>×２　デスクワークという仕事の内容だけではなく，復職のためには通勤経路や手段，職場環境を把握する必要があるため，安易に「職場復帰は可能」と発言するのは適切ではない．</ex><ex>○３　Aさんの職場復帰を妨げる問題は何か，希望をかなえるために解決しなければならない課題は何かを<span class=""bold"">一緒に考える</span>ことが，自己決定の支援につながる．</ex><ex>×４　職場の変更を提案することは，「元の職場に戻りたい」というAさんの思いとは異なるため不適切である．</ex>"
106P093,162,リハビリテーション,Aさん（82歳，男性）は，介護付の有料老人ホームに入居している．10年前まで会社を経営していた．プロ野球や世界経済に興味があり，友人とインターネットを用いて交流するのを楽しみにしている．Parkinson〈パーキンソン〉病で，現在Hoehn-Yahr〈ホーエン・ヤール〉の重症度分類でステージⅡ．両側の上下肢の静止振戦や動作緩慢がみられる．食事は自分の居室に運んでもらって食べている．身の回りのことは1人でできる．1人での外出も可能だが，転倒に対する恐怖が強いため1日中室内で過ごしている．,有料老人ホームの看護師はAさんに病気の進行を予防するために運動を勧めたが，Aさんは「この病気は進行性だからいつかは動けなくなる．今，転ぶと骨折して動けなくなるかもしれない．だから運動するのは嫌だ」と言う．AさんはParkinson〈パーキンソン〉病に関する情報を入手しており，病状の理解ができている．薬物は自己管理できている．かかりつけ医に自分から病状の説明を求めることもある．<br/>Aさんの転倒の不安を軽減するために看護師とAさんが一緒に実施することで，最も適切なのはどれか．,１．車椅子で外出する．,２．転倒予防教室への参加を検討する．,３．廃用症候群に関する情報を収集する．,４．運動の効果と転倒のリスクとを比較する．,,1in2or4,"<ex>×１　<span class=""bold"">残存機能</span>が維持できなくなる可能性があるため，不適切である．</ex><ex>○２　「今，転ぶと骨折して動けなくなるかもしれない」と心配しているところから，<span class=""bold"">転倒予防教室</span>で転倒予防の方法や転倒予防のための体操を行うことは有効である．</ex><ex>×３　廃用症候群に関する情報の収集よりも，転倒を予防する情報の収集のほうが前向きであり，優先度も高い．</ex><ex>○４　高齢者では，転倒恐怖感や歩行に対する自信喪失から自ら活動を制限してしまうことにより，身体機能が低下し，転倒リスクがより増加する悪循環に陥ることがある．そのため，運動により転倒のリスクが減少することを説明していくことが大切である．</ex>"
107P096,162,リハビリテーション,Aさん（52歳，女性）．自宅で突然激しい頭痛と悪心が出現し，自力で救急車を要請し，搬送された．ジャパン・コーマ・スケール〈JCS〉Ⅰ-2で頭痛を訴えており，発汗著明であった．瞳孔径は両側3.0mm．上下肢の麻痺はない．Aさんは頭部CTでくも膜下出血と診断され，ICUに入室した．入室時のバイタルサインは，体温36.8℃，呼吸数24/分，脈拍92/分，血圧156/98mmHg，経皮的動脈血酸素飽和度〈SpO<sub>2</sub>〉95％であった．,手術後14日，頭部CTで右大脳半球に小範囲の脳梗塞が認められた．Aさんは，左上肢の挙上はできるが維持が困難であり，左膝の屈曲はできるが左下肢の挙上は困難である．意識は清明であるが，Aさんは左片麻痺があるため動こうとしない．<br/>Aさんへの看護で最も適切なのはどれか．,１．日常生活動作〈ADL〉の自立度をアセスメントする．,２．歩行訓練のときは杖の使用を勧める．,３．左上肢の筋力増強運動を指導する．,４．車椅子への移乗は全介助で行う．,,1,<ex>○１　術後のADLの自立度を把握することによって，その後のケア計画を立案することができるため，最も適切である．</ex><ex>×２　術後のADLの自立度を把握していない段階で，歩行訓練の際の杖の必要性について判断することはできない．</ex><ex>×３　術後のADLの状況に適したリハビリテーションを指導するためにも，まずはADLの自立度をアセスメントする必要がある．</ex><ex>×４　転倒予防のための介助は必要であると考えられるが，どの程度介助が必要か把握するためにも，まずはADLの自立度をアセスメントする必要がある．</ex>
111P096,165,化学（薬物）療法,Aさん（38歳，会社員，女性）は夫と2人暮らし．通勤中に突然の頭痛を訴えて倒れ，救急搬送された．入院後に行った頭部CT検査および頭部MRI検査で，脳腫瘍と診断された．Aさんは脳腫瘍摘出のために開頭術を受けた．,放射線療法と化学療法が開始されて10日が経過した．Aさんはガーデニングの趣味があり，庭が気になるため週末の外泊を希望し，主治医から許可が出た．<br/>外泊にあたりAさんへの説明として適切なのはどれか．<goth>2つ選べ</goth>．,１．「入浴は控えてください」,２．「食べ物の制限はありません」,３．「ガーデニングの時は手袋をしてください」,４．「発熱を伴わない咳は様子を見てください」,５．「性交渉の時はコンドームを使用してください」,"3,5","<ex>×１　入浴の障壁になるような傷や管挿入がなく，化学放射線療法を受けて外泊可能な状態であるため，入浴を含む保清をすることに問題はない．</ex><ex>×２　化学放射線療法の副作用として<span class=""bold"">味覚障害</span>や<span class=""bold"">口内炎</span>がある場合，塩分や刺激が少ない食事の工夫が必要である．また，<span class=""bold"">骨髄抑制</span>に対する感染予防として，加熱処理したものを摂取するよう説明する．</ex><ex>○３　化学放射線療法の副作用として<span class=""bold"">骨髄抑制</span>が出現する可能性がある．ガーデニングによる<span class=""bold"">感染</span>や<span class=""bold"">出血</span>を防ぐため，手袋を着用するよう伝える．</ex><ex>×４　化学療法による薬剤肺障害は肺胞・間質領域病変の発生頻度が高く，<ruby>咳<rp>(</rp><rt>がい</rt><rp>)</rp></ruby><ruby>嗽<rp>(</rp><rt>そう</rt><rp>)</rp></ruby>（特に乾性），<span class=""bold"">息切れ</span>（<span class=""bold"">呼吸困難</span>） などが症状として多い．早期発見し治療することが重要なため，こうした症状が出たらすぐに医療者に報告するよう伝える．</ex><ex>○５　化学療法中のため，腟分泌物に<span class=""bold"">薬の成分</span>が含まれることがある．パートナーが薬の影響を受けないように，<span class=""bold"">コンドーム</span>を使うなどの対応が必要である．</ex>"
108A096,165,化学（薬物）療法,Aさん（37歳，女性，会社員）は，夫（38歳）と2人暮らし．身長155cm，体重57kg．Aさんは，入浴中に右胸のしこりに気づき，病院を受診した．乳房超音波検査で右乳房外側下部に，直径約3cmの腫瘤が認められた．医師から乳癌の可能性が高いと説明され，検査を受けたところ，右乳癌と診断された．,"Aさんは，職場の上司と相談し，仕事を継続しながら化学療法を受けることになった．2サイクル目の治療のため，化学療法センターに来院した．Aさんは「1回目の治療のあと，数日間身体がだるくて食欲もなく，体重が1キロ減りました．仕事も休みました」と看護師に話した．<br/>身体所見：体温36.8℃，呼吸数16/分，脈拍70/分，血圧120/74mmHg，経皮的動脈血酸素飽和度〈SpO<sub>2</sub>〉98％．<br/>検査所見：赤血球400万/μL，Hb 12.5g/dL，Ht 37％，白血球2,300/μL（好中球55％，単球5％，好酸球4％，好塩基球1％，リンパ球35％），血小板18万/μL，総蛋白7.0g/dL，アルブミン4.5g/dL，尿素窒素13mg/dL，クレアチニン0.6mg/dL，CRP 0.3mg/dL．<br/>2サイクル目の化学療法を受けたAさんに行ってもらうセルフモニタリングで最も重要なのはどれか．",１．脈拍数,２．体温,３．血圧,４．体重,,2,"<ex>×１　脈拍数の変化はなく，セルフモニタリングの優先度は<span class=""bold"">低い</span>．</ex><ex>○２　白血球の数が減少すると抵抗力が落ち，感染症に罹患しやすい状態になる．現時点で白血球がすでに減少していることから<span class=""bold"">骨髄抑制</span>の副作用が出現している可能性があり，体温はセルフモニタリングの優先度が<span class=""bold"">高い</span>．</ex><ex>×３　血圧は正常であるため，現状でのセルフモニタリングの優先度は<span class=""bold"">低い</span>．</ex><ex>×４　食欲が低下し体重が減少しているが，総蛋白，アルブミンは基準値内であり，セルフモニタリングの優先度は<span class=""bold"">低い</span>．</ex>"
113P095,165,化学（薬物）療法,"Aさん（43歳，男性，会社員）は，1か月前に右頸部の腫瘤を自覚した．大学病院で非Hodgkin〈ホジキン〉リンパ腫と診断され化学療法導入目的で入院した．<br/>バイタルサイン：体温37.1℃，呼吸数16/分，脈拍84/分，整．<br/>身体所見：顔面に浮腫を認める．<br/>検査所見：Hb 12.8g/dL，白血球6,400/μL，総蛋白7.6g/dL，アルブミン4.1g/dL．<br/>胸部造影CT：縦隔リンパ節腫大による上大静脈の圧迫を認める．",AさんはR-CHOP療法（リツキシマブ，シクロホスファミド，ドキソルビシン，ビンクリスチン，プレドニゾロン）を受けた．<br/>AさんのR-CHOP療法の初日に生じる可能性がある合併症はどれか．,１．脱毛,２．口内炎,３．低血糖,４．好中球減少症,５．腫瘍崩壊症候群,5,"<ex>×１　脱毛しやすい抗がん薬であるシクロホスファミドを使用しているが，脱毛の発症は抗がん薬投与後<span class=""bold"">2</span>週間前後である．</ex><ex>×２　口内炎は抗がん薬投与後<span class=""bold"">1</span>週間を過ぎる頃より生じる．</ex><ex>×３　抗がん薬投与の副作用で低血糖症状は起こらない．</ex><ex>×４　好中球減少症は，重篤な副作用として注意を要する骨髄抑制によるものであり，投与の約<span class=""bold"">2</span>週間後がピークとなる．</ex><ex>○５　腫瘍崩壊症候群とは，腫瘍量の多い悪性リンパ腫などに対する治療によって腫瘍細胞が破壊され，腫瘍細胞中の成分が血中に流入して起こる治療関連合併症である．初回化学療法開始<span class=""bold"">当日</span>に発症することが多い副作用である．</ex>"
113P096,165,化学（薬物）療法,"Aさん（43歳，男性，会社員）は，1か月前に右頸部の腫瘤を自覚した．大学病院で非Hodgkin〈ホジキン〉リンパ腫と診断され化学療法導入目的で入院した．<br/>バイタルサイン：体温37.1℃，呼吸数16/分，脈拍84/分，整．<br/>身体所見：顔面に浮腫を認める．<br/>検査所見：Hb 12.8g/dL，白血球6,400/μL，総蛋白7.6g/dL，アルブミン4.1g/dL．<br/>胸部造影CT：縦隔リンパ節腫大による上大静脈の圧迫を認める．",AさんはR-CHOP療法終了後も嘔気・嘔吐が続き，制吐薬の追加投与を受けた．治療後3日，「やっと楽になって食事が摂れるようになったけど，やっぱりつらかった．思い出すだけでも気持ち悪くなります」と話している．<br/>Aさんの次回のR-CHOP療法において，嘔気・嘔吐への対応で適切なのはどれか．,"１．1日1,000mLの水分摂取",２．治療前日の夕食の中止,３．治療前の制吐薬の投与,４．抗癌薬の減量,,3,<ex>×１　飲水による水分摂取は<ruby>悪<rp>(</rp><rt>お</rt><rp>)</rp></ruby><ruby>心<rp>(</rp><rt>しん</rt><rp>)</rp></ruby>を助長する可能性がある．また悪心への不安感が強いため，水分摂取のノルマを提示することだけでも心理的負荷がかかることから，対策として適切ではない．</ex><ex>×２　化学療法の2～3時間前は食物を摂取しないよう指導することは効果的だが，前日の食事は治療当日には消化されるため中止する必要はない．</ex><ex>○３　Aさんは抗がん薬による悪心・<ruby>嘔<rp>(</rp><rt>おう</rt><rp>)</rp></ruby><ruby>吐<rp>(</rp><rt>と</rt><rp>)</rp></ruby>があり，制吐薬の追加を受け，その後症状は緩和している．そのため，使用経験を評価し，次回治療前の予防的投与について検討することが望ましい．</ex><ex>×４　抗がん薬の減量は抗腫瘍効果を減らす可能性があり，重篤な副作用以外では対象とならない．</ex>
106A049,165,化学（薬物）療法,NULL,点滴静脈内注射によって抗癌薬を投与している患者の看護で適切なのはどれか．,１．悪心は薬で緩和する．,２．留置針は原則として手背に挿入する．,３．血管痛がある場合は直ちに留置針を差し替える．,４．2回目以降の投与では過敏症の症状の確認は必要ない．,,1,"<ex>○１　抗がん薬により腸管細胞を刺激することで放出する<span class=""bold"">セロトニン</span>は，求心性迷走神経や化学受容器引金帯（CTZ）に作用し，<span class=""bold""><ruby>嘔<rp>(</rp><rt>おう</rt><rp>)</rp></ruby><ruby>吐<rp>(</rp><rt>と</rt><rp>)</rp></ruby>中枢</span>を刺激する．セロトニンの作用を阻害する薬剤で症状を抑制できる．</ex><ex>×２　留置針の挿入部位の第一選択は前腕である．手背，手首，肘関節などの動きのある部位は<span class=""bold"">血管外漏出</span>するおそれがあるため，なるべく避け，太く軟らかい弾力のある血管を選択する．</ex><ex>×３　血管痛がある場合はまず血管外漏出の有無を確認する．血管外漏出がある場合は，直ちに抗がん薬の投与を中止する．ない場合は，適切な投与が行われているか確認し，対症療法を行う．いずれの場合でもすぐに留置針を差し替えることはしない．</ex><ex>×４　抗がん薬投与後，24時間以降や2回目以降の投与の際に過敏症が出現することもある．回数を重ねることで過敏症の発症リスクが高くなる薬剤もあるので，必ず把握しておく．</ex>"
114P047,166,放射線療法,NULL,乳房温存療法で放射線治療を受ける乳癌患者への説明で適切なのはどれか．,１．「頭髪の脱毛が生じます」,２．「嚥下障害が予測されます」,３．「皮膚にマーキングを行います」,４．「同居家族への被曝に注意してください」,,3,<ex>×１　放射線療法による有害事象は照射部位で生じるため，頭髪の脱毛は起こらない．</ex><ex>×２　<ruby>嚥<rp>(</rp><rt>えん</rt><rp>)</rp></ruby><ruby>下<rp>(</rp><rt>げ</rt><rp>)</rp></ruby>に関与する部位は照射部位の範囲にないため，嚥下障害は予測されない．</ex><ex>○３　毎回同じ位置に照射できるよう，皮膚にマーキングを行う．適切な照射を継続して実施するためにマークは重要であるため，入浴の際などに消してしまうことがないよう十分に説明する．</ex><ex>×４　乳癌の放射線療法は外部から照射するのみであり，体内には放射性物質がないため，同居家族が被ばくすることはない．</ex>
106P072,166,放射線療法,NULL,放射線療法に関わる看護師の健康管理に必要なのはどれか．,１．線量計を装着する．,２．ヨウ素剤を服用する．,３．ゴーグルを着用する．,４．N95マスクを着用する．,５．鉛を含んだエプロンを着用する．,1in1or3or5,<ex>○１　放射線療法にかかわる看護師は，線量計を必ず装着しなければならない．</ex><ex>×２　ヨウ素剤の服用は，放射線療法にかかわる看護師の健康管理にまったく効果はない．</ex><ex>○３　ゴーグルは，物理的に目を守る防護具である．放射線療法にかかわる看護師は，エックス線防護用のゴーグルを着用することがある．</ex><ex>×４　N95マスクは，結核菌やSARSといった空気中の微生物から医療スタッフを守る防護具である．</ex><ex>○５　血管撮影にかかわる看護師は鉛を含むエプロンの着用を必要とすることがある．</ex>
